id,Y
b1,16239724544
b2,14859553792
b3,28235878400
b4,14899625984
b5,14845682688
b6,14844141568
b7,14844141568
b8,14844141568
b9,14844141568
b10,14844141568
b11,22354548736
b12,14845682688
b13,47394123776
b14,95408799744
b15,17094335488
b16,14859553792
b17,44335554560
b18,137739419648
b19,14940468224
b20,14869571584
b21,14868801536
b22,33336576000
b23,24953061376
b24,17233817600
b25,14860323840
b26,27398221824
b27,14876507136
b28,14845682688
b29,14844141568
b30,14844141568
b31,14844141568
b32,14844141568
b33,14844141568
b34,15093820416
b35,14844141568
b36,14844141568
b37,85504860160
b38,14962044928
b39,14846452736
b40,19549513728
b41,98793340928
b42,15408231424
b43,14892690432
b44,14905020416
b45,16084830208
b46,1311381504
b47,12686420992
b48,14463458304
b49,14739338240
b50,11199906816
b51,14486576128
b52,14344012800
b53,14201448448
b54,14439568384
b55,14772473856
b56,14836434944
b57,14844141568
b58,14844141568
b59,31951011840
b60,162993995776
b61,23062745088
b62,15180900352
b63,120479973376
b64,650827661312
b65,70579601408
b66,27551574016
b67,90693410816
b68,306154143744
b69,96923058176
b70,107278573568
b71,21663307776
b72,119125229568
b73,20172169216
b74,15570060288
b75,14974374912
b76,14864948224
b77,14847223808
b78,18330400768
b79,15724183552
b80,41219190784
b81,15268750336
b82,52443189248
b83,207702753280
b84,19478616064
b85,15086113792
b86,52483264512
b87,495410872320
b88,33155481600
b89,17848766464
b90,17166002176
b91,65582166016
b92,33837475840
b93,26286995456
b94,15228678144
b95,33422114816
b96,15149304832
b97,14864177152
b98,14845682688
b99,14844141568
b100,14844141568
b101,14844141568
b102,14844141568
b103,16561841152
b104,14850306048
b105,19507900416
b106,160043319296
b107,21116942336
b108,14992870400
b109,57133150208
b110,344998510592
b111,27713402880
b112,16725982208
b113,48715726848
b114,165611782144
b115,72320417792
b116,81856774144
b117,17115142144
b118,48124665856
b119,15382800384
b120,14871112704
b121,14846452736
b122,14844141568
b123,14844141568
b124,14840288256
b125,14844141568
b126,17051181056
b127,14850306048
b128,39620935680
b129,202817830912
b130,16127984640
b131,14876507136
b132,36714180608
b133,291674292224
b134,16578794496
b135,15064537088
b136,15060683776
b137,38779424768
b138,20647639040
b139,16950231040
b140,14856471552
b141,21505333248
b142,14854930432
b143,14844141568
b144,14844141568
b145,14844141568
b146,14844141568
b147,14844141568
b148,14844141568
b149,14928909312
b150,14844141568
b151,25520234496
b152,157358489600
b153,17833355264
b154,15220971520
b155,66694164480
b156,338681757696
b157,26946641920
b158,18766569472
b159,18094594048
b160,47572905984
b161,36469895168
b162,18107693056
b163,15670240256
b164,24332716032
b165,16126443520
b166,15059142656
b167,14888837120
b168,14854159360
b169,15541547008
b170,38344028160
b171,316424880128
